title,price,rating,image,screen_size,screen_resolution,max_screen_resolution,processor,num_processors,ram,memory_type,graphics_coprocessor,chipset_brand,hard_drive,flash_memory_size,hard_drive_interface,wireless_type,num_usb_3_ports,operating_system,item_weight,product_dimensions,brand,series,model_number
"Lenovo IdeaPad 1 Laptop, 15.6” FHD Display, AMD Ryzen 5 5500U, 8GB RAM, 512GB SSD, Windows 11 Home, 720p Camera w/Privacy Shutter, Smart Noise Cancelling, Cloud Grey",449.,4.4 out of 5 stars,https://m.media-amazon.com/images/I/31eItI+dCWL.jpg; https://m.media-amazon.com/images/I/31n3dI0up6L.jpg; https://m.media-amazon.com/images/I/411rnWokf9L.jpg; https://m.media-amazon.com/images/I/41KbJiHVpqL.jpg; https://m.media-amazon.com/images/I/21BQgmHyNfL.jpg; https://m.media-amazon.com/images/I/21cuo5rewUL.jpg,15.6 Inches,1920 x 1080 pixels,1920x1080 Pixels,2.1 GHz amd_ryzen_5_5500u,1,8 GB DDR4,DDR4 SDRAM,Intel HD Graphics 400,AMD,512 GB SSD,512 GB,Solid State,802.11bgn,1,Windows 11 Home,3.52 pounds,9.29 x 14.17 x 0.7 inches,Lenovo,"Ideapad 1 15"" - 82R400EMUS",82R400EMUS
"Lenovo 100e Windows 2nd Gen 81M80035US 11.6"" Netbook - HD - 1366 x 768 - Intel Celeron N4020 Dual-core (2 Core) 1.10 GHz - 4 GB RAM - 64 GB Flash Memory - Gray (Renewed)",59.,3.6 out of 5 stars,https://m.media-amazon.com/images/I/41+fAgrCYpL.jpg; https://m.media-amazon.com/images/I/41aMPBwj21L.jpg; https://m.media-amazon.com/images/I/41fefO61DmL.jpg; https://m.media-amazon.com/images/I/41ra9jjPQ9L.jpg,11.6 Inches,1366 x 768 pixels,1366 x 768 Pixels,1.1 GHz celeron,1,4 GB LPDDR4,DDR4 SDRAM,Intel UHD Graphics 600,Intel,Emmc,64 GB,Solid State,"Bluetooth, 802.11ac",,Windows 10 Pro,2.2 pounds,11.4 x 8 x 0.78 inches,Lenovo,100e Windows 2nd Gen,81M80035US
"Lenovo IdeaPad 1 Student Laptop, 14"" HD Display Intel Celeron N4020, 4GB RAM, 128GB eMMC,Long Battery Life-Up to 11 Hours, Wi-Fi 6, Windows 11 Home Business Laptop",299.,3.8 out of 5 stars,https://m.media-amazon.com/images/I/41UvZbsK3KL.jpg; https://m.media-amazon.com/images/I/415asY10cUL.jpg; https://m.media-amazon.com/images/I/41IrusEHG6L.jpg; https://m.media-amazon.com/images/I/41XB7hzUPPL.jpg; https://m.media-amazon.com/images/I/31tcjAPvHsL.jpg; https://m.media-amazon.com/images/I/21qWfpK4BkL.jpg,14 Inches,1366 x 768 pixels,1366x768 Pixels,2.8 GHz celeron,2,4 GB DDR4,DDR4 SDRAM,Intel UHD Graphics,Intel,128 GB Emmc,,Solid State,"Bluetooth, 802.11ax",2,Windows 11 S,3.08 pounds,12.81 x 0.7 x 8.52 inches,Lenovo,Lenovo IdeaPad 1 Laptop,Lenovo IdeaPad 1 Laptop
"Lenovo Thinkpad E14 G6 Business Laptop 14.0"" IPS WUXGA Display (AMD Ryzen 7 7735U, 16GB DDR5, 512GB PCIe SSD, Backlit KB, Fingerprint, 2 Thunderbolt 4, WiFi 6E, Win 11 Pro) w/DKZ USB Port Expander",639.,4.8 out of 5 stars,https://m.media-amazon.com/images/I/51i3H8LRNxL.jpg; https://m.media-amazon.com/images/I/51fZDgsNN4L.jpg; https://m.media-amazon.com/images/I/41TZ8z2S03L.jpg; https://m.media-amazon.com/images/I/414q6FXCPRL.jpg; https://m.media-amazon.com/images/I/31o4y0OMOML.jpg; https://m.media-amazon.com/images/I/5197bepC2tL.jpg; https://m.media-amazon.com/images/I/31CY80Vpq-L.jpg,14 Inches,1920x1200,1920x1200,2.7 GHz amd_r_series,8,16 GB SO-DIMM,SDRAM,AMD Radeon Graphics,AMD,512 GB 512GB NVMe SSD,,PCIe,802.11ax,,Windows 11 Pro,3 pounds,9 x 12 x 1 inches,Lenovo,Thinkpad E14 G6,20HQ0001US
"Lenovo V15 Business Laptop | Intel 4-core Processor | 15.6"" FHD (1920 x 1080) | 32GB RAM | 1TB SSD | Ethernet RJ-45 | Military Durability | Windows 11 Pro | w/WOWPC 500GB External Storage",369.,4.2 out of 5 stars,https://m.media-amazon.com/images/I/51z2H00X54L.jpg; https://m.media-amazon.com/images/I/41qp13CgMHL.jpg; https://m.media-amazon.com/images/I/51p4szq7viL.jpg; https://m.media-amazon.com/images/I/41RgMUkDY9L.jpg; https://m.media-amazon.com/images/I/31ptiehurHL.jpg; https://m.media-amazon.com/images/I/41VlhGL0FDL.jpg; https://m.media-amazon.com/images/I/51JbXOTbRHL.jpg,15.6 Inches,1920 x 1080 pixels,1920 x 1080 Pixels,2.8 GHz celeron,4,32 GB DDR4,DDR4 SDRAM,Intel UHD Graphics,Intel,1 TB SSD,1 TB,Solid State,802.11ac,2,Windows 11 Pro,3.75 pounds,14.14 x 9.28 x 0.78 inches,Lenovo,V15,V15
"Lenovo IdeaPad Flex 5 16"""" 2-in-1 2.5K IPS Touchscreen Laptop, Intel Core i7-1255U, 16GB RAM, 1TB SSD, Backlit Keyboard, Fingerprint Reader, Win 11 Pro, Storm Grey, 32GB Hotface USB Card, Gray",759.,4.4 out of 5 stars,https://m.media-amazon.com/images/I/41fuO5ralDL.jpg; https://m.media-amazon.com/images/I/41psd2MrGLL.jpg; https://m.media-amazon.com/images/I/51Z+GSJGOfL.jpg; https://m.media-amazon.com/images/I/41DAnFXZWqL.jpg; https://m.media-amazon.com/images/I/51bPjO+RODL.jpg; https://m.media-amazon.com/images/I/51gdT9fc7iL.jpg; https://m.media-amazon.com/images/I/51dOpdQrSPL.jpg,16 Inches,2560 x 1600 pixels,2560 x 1600 Pixels,1.7 GHz core_i7,10,16 GB DDR4,DDR4 SDRAM,Intel Iris Xe Graphics,Intel,1 TB SSD,,Solid State,802.11ax,,Windows 11 Pro,4.63 pounds,14.09 x 9.99 x 0.74 inches,Lenovo,2560 X 1600 Pixels,Lenovo IdeaPad
"Lenovo IdeaPad Slim 3 14"" Chromebook Laptop (14"" FHD Touchscreen, 8-Core MediaTek Kompanio 520, 4GB RAM, 128GB(64GB eMMC+64GB SD)), Webcam, 13.5-Hrs Long-Battery Life, IST Card, Chrome OS, Abyss Blue",219.,4.3 out of 5 stars,https://m.media-amazon.com/images/I/41eYKdQemGL.jpg; https://m.media-amazon.com/images/I/41+SFAbiP1L.jpg; https://m.media-amazon.com/images/I/41wXBKMerIL.jpg; https://m.media-amazon.com/images/I/41E5TxxlU-L.jpg; https://m.media-amazon.com/images/I/416POcP7uzL.jpg; https://m.media-amazon.com/images/I/310G9XEeRAL.jpg,14 Inches,1920 x 1080 pixels,1920 x 1080 Pixels,2 GHz mediatek_helio,8,4 GB LPDDR4X,DDR4 SDRAM,Integrated ARM Mali-G52 2EE MC2,ARM,128 GB SSD,,Solid State,"Bluetooth, 802.11ax",2,Chrome OS,2.87 pounds,12.83 x 8.73 x 0.73 inches,Lenovo,IdeaPad Slim 3 Chromebook,IdeaPad Slim 3 Chromebook
"Lenovo ThinkPad E15 Gen 3 Business Laptop, 15.6"" Full HD Display, AMD Ryzen 5 5500U Processor, 16GB DDR4 RAM, 256GB SSD, USB Type-C, Webcam, HDMI, Wi-Fi, Bluetooth, Windows 10 Pro, Black (Renewed)",299.,4.1 out of 5 stars,https://m.media-amazon.com/images/I/31ZnOXTAiJL.jpg; https://m.media-amazon.com/images/I/310tAELEDEL.jpg; https://m.media-amazon.com/images/I/31zRM6suFsL.jpg; https://m.media-amazon.com/images/I/21Wij4K4r9L.jpg; https://m.media-amazon.com/images/I/21mC0q2zk+L.jpg; https://m.media-amazon.com/images/I/41xHl-+zqeL.jpg,15.6 Inches,1920 x 1080 pixels,1920 x 1080 Pixels,2.1 GHz ryzen_5,6,16 GB DDR4,DDR4 SDRAM,AMD Radeon Graphics,AMD,256 GB SSD,,PCIE x 4,Bluetooth,,Windows 10 Pro,3.75 pounds,14.37 x 9.45 x 0.74 inches,Lenovo,ThinkPad,5500U
"Lenovo Ideapad Laptop Touchscreen 15.6"" FHD, Intel Core i3-1215U 6-Core, 16GB RAM, 512GB SSD, Webcam, Bluetooth, Wi-Fi6, SD Card Reader, Windows 11, Grey, GM Accessories",397.,4.1 out of 5 stars,https://m.media-amazon.com/images/I/41IzP2Ct9gL.jpg; https://m.media-amazon.com/images/I/41hG4Go9pCL.jpg; https://m.media-amazon.com/images/I/518wQI+uTDL.jpg; https://m.media-amazon.com/images/I/51qc05ssw3L.jpg; https://m.media-amazon.com/images/I/21Gcs9B3fQL.jpg; https://m.media-amazon.com/images/I/21LOy3r72bL.jpg; https://m.media-amazon.com/images/I/31Nw3vQFlsL.jpg,15.6 Inches,,,,,16,DDR4 SDRAM,,,,,,,,,3.59 pounds,14.2 x 9.3 x 0.7 inches,Lenovo,,eb785b0e-26e9-4588-aa86-51792473d564
"Lenovo - Yoga 7i 2-in-1 16"" 2K Touchscreen Laptop - Intel Core Ultra 5 125U with 16GB Memory - 512GB SSD - Storm Grey 83DL0000US",609.,4.5 out of 5 stars,https://m.media-amazon.com/images/I/41GVuxfym8L.jpg; https://m.media-amazon.com/images/I/41BSRo0pxeL.jpg; https://m.media-amazon.com/images/I/41P9A4xPZkL.jpg; https://m.media-amazon.com/images/I/41Xoj2Cx+nL.jpg; https://m.media-amazon.com/images/I/21F67fSNroL.jpg; https://m.media-amazon.com/images/I/2169B8uNjGL.jpg,16 Inches,,,1.3 GHz intel_core_ultra_5,4,DDR5,DDR5 RAM,,Intel,512 GB SSD,16 GB,,Bluetooth,2,Windows 11 Home,4.63 pounds,14.24 x 9.84 x 0.75 inches,Lenovo,83DL0000US,83DL0000US
"Lenovo Thinkbook 16 G7 Ultra 5 Premium Laptop Computer Intel 12-Core 16"" FHD 16GB DDR5 RAM, 512GB PCIe SSD Thunderbolt 4 WiFi 6E RJ45 Win 11 Pro NPU AI Experience Copilot Business Laptop Vent-HEA",779.,4.7 out of 5 stars,https://m.media-amazon.com/images/I/51e1L4D+yML.jpg; https://m.media-amazon.com/images/I/41N9SxUqx1L.jpg; https://m.media-amazon.com/images/I/410Tf140dgL.jpg; https://m.media-amazon.com/images/I/41CoOTqfAPL.jpg; https://m.media-amazon.com/images/I/31UnFPpTvRL.jpg; https://m.media-amazon.com/images/I/3155lKH+N6L.jpg; https://m.media-amazon.com/images/I/41X2GyBoX1L.jpg,16 Inches,1920 x 1200 pixels,1920 x 1200 Pixels,1.3 GHz intel_core_ultra_5,12,16 GB DDR5,DDR5 RAM,Intel Graphics,Intel,512 GB SSD,,PCIE x 4,Bluetooth,2,Windows 11 Pro,3.75 pounds,14.01 x 9.98 x 0.69 inches,Lenovo,ThinkBook,16 G7
"Lenovo - 300W Gen 3-2-in-1 Educational Computer - Laptop for Students - AMD 3015e Dual-Core Processor - 11.6"" HD Touchscreen Display - 4GB Memory - 64GB Storage - Windows 10 Pro",133.,3.9 out of 5 stars,https://m.media-amazon.com/images/I/31QviKuHssL.jpg,11.6,1366 x 768,1366 x 768 Pixels,2.3 GHz amd_e_series,1,4 GB DDR4,DDR4 SDRAM,AMD Radeon Vega 8,AMD,SSD,64 GB,,801.11ac,3,Windows 10 Pro,4.2 pounds,11.4 x 7.97 x 0.78 inches,Lenovo,Lenovo 300W Gen 3,82J1000HUS
"Lenovo IdeaPad Flex 5i - (2023) - Everyday Notebook - 2-in-1 Laptop Computer - Windows 11-14"" WUXGA Touchscreen - 8GB Memory - 256GB Storage - Intel Core i3-1215U - Fingerprint Reader - Storm Grey",370.,4.2 out of 5 stars,https://m.media-amazon.com/images/I/41GLn9qt4vL.jpg; https://m.media-amazon.com/images/I/51quWqCssUL.jpg; https://m.media-amazon.com/images/I/51zo73v25HL.jpg; https://m.media-amazon.com/images/I/51+Zcx0LRWL.jpg; https://m.media-amazon.com/images/I/51o7iAJ7GNL.jpg; https://m.media-amazon.com/images/I/41DVjLEViTL.jpg; https://m.media-amazon.com/images/I/51vrwF5W1OL.jpg,14 Inches,1920 x 1200 pixels,1920 x 1200 Pixels,4.4 GHz apple_ci3,4,,DDR4 SDRAM,Intel UHD Graphics,Intel,256 GB SSD,256 GB,,802.11b,1,Windows 11 Home,4.84 pounds,18.8 x 2.7 x 11.9 inches,Lenovo,Lenovo IdeaPad Flex 5,82R7003WUS
"Lenovo ThinkPad E14 Gen 6 Business Laptop, 14"" FHD+ Display, AMD Ryzen 5 7535U, 32GB DDR5 RAM, 1TB SSD, Fingerprint, Backlit, Wi-Fi 6, Windows 11 Pro, Bundle with Targus USB-C 100W Docking Station",329.,4.0 out of 5 stars,https://m.media-amazon.com/images/I/411WxwfFO9L.jpg; https://m.media-amazon.com/images/I/51QCNlluuBL.jpg; https://m.media-amazon.com/images/I/41Ju8UDhb+L.jpg; https://m.media-amazon.com/images/I/41R9gfjD1OL.jpg; https://m.media-amazon.com/images/I/51t+l+aoCkL.jpg; https://m.media-amazon.com/images/I/414Y5tuXp8L.jpg; https://m.media-amazon.com/images/I/511g6pPFrdL.jpg,14 Inches,,1920 x 1200 Pixels,4.55 GHz ryzen_5,6,32 GB,DDR5 SDRAM,AMD Radeon Graphics,AMD,1 TB SSD,,PCIE x 4,802.11ax,4,Windows 11 Pro,6 pounds,12.32 x 8.63 x 0.71 inches,Lenovo,21M4,21M4
"Lenovo Chromebook Duet - 2025 - Convertible Chromebook - ChromeOS - 10.95"" WUXGA IPS Touch Display - 4GB Memory - 64GB Storage - MediaTek Kompanio 838 - Luna Grey",262.,3.6 out of 5 stars,https://m.media-amazon.com/images/I/31w7dP686nL.jpg; https://m.media-amazon.com/images/I/41ECEOzKpzL.jpg; https://m.media-amazon.com/images/I/41GzDwZo9xL.jpg; https://m.media-amazon.com/images/I/41sB2UWtj4L.jpg; https://m.media-amazon.com/images/I/41SasWFLVLL.jpg; https://m.media-amazon.com/images/I/41wQq7bRoaL.jpg; https://m.media-amazon.com/images/I/41oCcH9V+uL.jpg,10.95 Inches,1920 x 1200 pixels,1920x1200 Pixels,2.6 GHz mediatek_kompanio_828,1,LPDDR4X,DDR4 SDRAM,,ARM,SSD,64 GB,,802.11n,,Chrome OS,1.12 pounds,10.05 x 6.57 x 0.3 inches,Lenovo,Chromebook Duet,83HH0014US
"Lenovo Gen 12 ThinkPad X1 Carbon Laptop with Intel Ultra 7 155U Processor, 14"" WUXGA 100% sRGB Non-Touch Display, 32GB 6400MHz RAM, 512GB Gen4 Performance SSD, FHD+ IR+ RGB Camera, and Windows 11 Pro",299.,4.8 out of 5 stars,https://m.media-amazon.com/images/I/41zpKENnq+L.jpg; https://m.media-amazon.com/images/I/51q4xuGWAVL.jpg; https://m.media-amazon.com/images/I/41aVXflKEoL.jpg; https://m.media-amazon.com/images/I/41tf4FZ3yDL.jpg; https://m.media-amazon.com/images/I/31TbQ1jxZOL.jpg; https://m.media-amazon.com/images/I/41xyr3NoEKL.jpg; https://m.media-amazon.com/images/I/41C-gAIcDkL.jpg,14 Inches,1920 x 1080 pixels,1920 x 1200 Pixels,4.8 GHz core_i7,12,32 GB LPDDR5,DDR5 RAM,Integrated Intel Graphics,Intel,512 GB SSD,512 GB,Solid State,"Bluetooth, 802.11ax",2,Windows,4 pounds,12.31 x 8.45 x 0.59 inches,Lenovo,ThinkPad X1 Carbon Gen 12,21KC0046US
"Lenovo V15 Gen 4 Business Laptop, 15.6"" FHD Display, Intel Core i5-13420H (Beat i7-1355U), 16GB RAM, 512GB SSD, HDMI, RJ45, Webcam, Numeric Keypad, Wi-Fi, Windows 11 Pro, Black",609.,4.2 out of 5 stars,https://m.media-amazon.com/images/I/41DLv-R5UML.jpg; https://m.media-amazon.com/images/I/41KYcZlgNyL.jpg; https://m.media-amazon.com/images/I/41O-6JnFaPL.jpg; https://m.media-amazon.com/images/I/41UmA-Qf9pL.jpg; https://m.media-amazon.com/images/I/41nXEcuNrfL.jpg; https://m.media-amazon.com/images/I/41hWhHoCnZL.jpg,15.6 Inches,1920 x 1080 pixels,1920 x 1080 Pixels,4.6 GHz core_i5_family,8,16 GB DDR4,DDR4 SDRAM,Intel UHD Graphics,Intel,512 GB SSD,512 GB,PCIE x 4,802.11ac,2,Windows 11 Pro,3.64 pounds,14.13 x 9.29 x 0.78 inches,Lenovo,Lenovo V15 G4 IRU,Lenovo V15 G4 IRU
"Lenovo Chromebook Premium 15.6"" FHD Slim Light Laptop Computer Business & Student, Intel Celeron N4500, 4GB RAM, 192GB Storage (64GB eMMC+ 128GB Card), WiFi 6, Long Battery, Chrome OS HubxcelAccessory",259.,4.2 out of 5 stars,https://m.media-amazon.com/images/I/516IGnpZqzL.jpg; https://m.media-amazon.com/images/I/41IZIG0Tc-L.jpg; https://m.media-amazon.com/images/I/51fwfgxU7CL.jpg; https://m.media-amazon.com/images/I/518W-g27vAL.jpg; https://m.media-amazon.com/images/I/41ac5JqxQLL.jpg; https://m.media-amazon.com/images/I/51BR5g4M9sL.jpg; https://m.media-amazon.com/images/I/51ru3HQc8OL.jpg,15.6 Inches,1920 x 1080 pixels,1920 x 1080 Pixels,2.8 GHz celeron_n,2,4 GB,DDR4 SDRAM,Intel UHD Graphics,Intel,64 GB Emmc,,Solid State,,3,Chrome OS,3.48 pounds,14.3 x 9.6 x 0.7 inches,Lenovo,2025 Premium Lenovo IdeaPad 3i,2025 Premium Lenovo IdeaPad 3i
"Lenovo Ideapad 14 Laptop, 14"" HD Screen, Intel Pentium Silver N5030, 4GB RAM, 128GB PCIe SSD (NO eMMC), Webcam, HDMI, SD Card Reader, Win 11, Gray, 1 Year Office 365, with Bundled Accessories",190.,4.0 out of 5 stars,https://m.media-amazon.com/images/I/41arFK1Y35L.jpg; https://m.media-amazon.com/images/I/519+18O5UIL.jpg; https://m.media-amazon.com/images/I/51tpkhuiF8L.jpg; https://m.media-amazon.com/images/I/51cM9E3uaTL.jpg; https://m.media-amazon.com/images/I/41Wo+tS72fL.jpg; https://m.media-amazon.com/images/I/51-fnrXEvfL.jpg; https://m.media-amazon.com/images/I/513We4OG-TL.jpg,14 Inches,1366 x 768 pixels,1366 x 768 Pixels,3.1 GHz pentium,4,4 GB DDR4,DDR4 SDRAM,Intel UHD Graphics,Intel,128 GB SSD,,PCIE x 4,"Bluetooth, 802.11ac",2,Windows 11,3.1 pounds,12.9 x 9.3 x 0.7 inches,Lenovo,IdeaPad,IdeaPad
"Lenovo IdeaPad 1 15.6"" FHD Touchscreen (1920 x 108) Laptop, Intel Core i5-1235U, 8 GB RAM, 512 GB SSD, Windows 11 in S Mode, Wi-Fi, Abyss Blue, 82QD00HMUS",299.,Previous page of related Sponsored Products,https://m.media-amazon.com/images/I/41jhZQLdTLL.jpg; https://m.media-amazon.com/images/I/41gjPdG+ZmL.jpg; https://m.media-amazon.com/images/I/415CK3d94EL.jpg; https://m.media-amazon.com/images/I/31fJ6m6n0eL.jpg; https://m.media-amazon.com/images/I/41j4i7M1GyL.jpg; https://m.media-amazon.com/images/I/41XeuCbPm9L.jpg; https://m.media-amazon.com/images/I/31m1XctP2cL.jpg,15.6 Inches,1920 x 1080 pixels,1920x1080,core_i5,10,,DDR4 SDRAM,,,512 GB SSD,,,802.11ax,,Windows 11,5.34 pounds,22 x 15 x 3 inches,Lenovo,IdeaPad 1,82QD00HMUS
"Lenovo ThinkPad X1 Carbon Gen 13 21NS0014US 14"" Copilot+ PC Ultrabook - 2.8K - Intel Core Ultra 7 258V - Intel Evo Platform - 32 GB - 512 GB SSD - English Keyboard - Black Paint - Intel Chip - 2880 x",399.,Previous page of related Sponsored Products,https://m.media-amazon.com/images/I/41TQgrml-KL.jpg; https://m.media-amazon.com/images/I/51jNZ3ycpPL.jpg; https://m.media-amazon.com/images/I/41Q6CG25RzL.jpg; https://m.media-amazon.com/images/I/11WlztiBfCL.jpg; https://m.media-amazon.com/images/I/61LTW+9ozDL.jpg; https://m.media-amazon.com/images/I/21aMfWhySQL.jpg; https://m.media-amazon.com/images/I/11jGzt3Q2FL.jpg,14 Inches,2880 x 1800,2880x1800,intel_core_ultra_7,,32 GB LPDDR5X,DDR5 RAM,,Intel,512 GB 512GB NVMe M.2 SSD,,PCIE x 4,802.11.be,,Windows 11 Pro,4.73 pounds,17.8 x 11.9 x 3 inches,Lenovo,21NS0014US,21NS0014US
"Lenovo Chromebook Slim Thin Light Laptop Student Business 2024, 14"" FHD Touchscreen, 8-Core MediaTek Kompanio 520, 4GB RAM, 128GB (64GB eMMC+64GB Card), WiFi 6, Long Hours, Chrome OS+HubxcelAccesory",269.,4.0 out of 5 stars,https://m.media-amazon.com/images/I/41GlzdseAlL.jpg; https://m.media-amazon.com/images/I/51DUXZi8eML.jpg; https://m.media-amazon.com/images/I/51G8A0t7OqL.jpg; https://m.media-amazon.com/images/I/51SQSmsNE3L.jpg; https://m.media-amazon.com/images/I/41e9WmO9KbL.jpg; https://m.media-amazon.com/images/I/41WDIfJubJL.jpg; https://m.media-amazon.com/images/I/51kb1pKwecL.jpg,14 Inches,1920 x 1080 pixels,1920 x 1080 Pixels,2 GHz cortex,8,4 GB DDR4,DDR SDRAM,Integrated ARM Mali-G52 2EE MC2 GPU,Intel,64 GB Emmc,,Solid State,802.11ax,2,Chrome OS,2.86 pounds,12.83 x 8.73 x 0.73 inches,Lenovo,Newest Flagship Lenovo Chromebook,Newest Flagship Lenovo Chromebook
"Lenovo ThinkBook 16 G6 16"" FHD+ Business Laptop Computer, 13th Gen Intel Octa-Core i5-13420H (Beat i7-1355U), 32GB DDR5 RAM, 1TB PCIe SSD, WiFi 6, BT 5.2, Fingerprint Reader, Windows 11 Pro, AZ-XUT",799.,4.1 out of 5 stars,https://m.media-amazon.com/images/I/41k9iVINpuL.jpg; https://m.media-amazon.com/images/I/51yUFRYjPBL.jpg; https://m.media-amazon.com/images/I/41N9SxUqx1L.jpg; https://m.media-amazon.com/images/I/410Tf140dgL.jpg; https://m.media-amazon.com/images/I/41CoOTqfAPL.jpg; https://m.media-amazon.com/images/I/31UnFPpTvRL.jpg; https://m.media-amazon.com/images/I/3155lKH+N6L.jpg,16 Inches,1920 x 1200 pixels,1920 x 1200 Pixels,2.1 GHz apple_ci5,8,32 GB DDR5,DDR5 RAM,Intel UHD Graphics,Intel,1 TB SSD,,PCIE x 4,802.11ax,2,Windows 11 Pro,3.75 pounds,14.01 x 9.98 x 0.69 inches,Lenovo,ThinkBook,16 G6
"Lenovo Legion 5i Gaming Laptop, Intel 24-Core i9-14900HX, 16"" WQXGA (2560 x 1600) 165Hz IPS Display, NVIDIA GeForce RTX 4060 8GB DDR6, 32GB DDR5 1TB SSD, Windows 11 Home",479.,5.0 out of 5 stars,https://m.media-amazon.com/images/I/41C3edHjoKL.jpg; https://m.media-amazon.com/images/I/41zttSyI58L.jpg; https://m.media-amazon.com/images/I/41RxtZ4vIqL.jpg; https://m.media-amazon.com/images/I/41o5lh1CwNL.jpg; https://m.media-amazon.com/images/I/21j-gxj4RxL.jpg; https://m.media-amazon.com/images/I/21j1f2DxYcL.jpg; https://m.media-amazon.com/images/I/41kmWydI9LL.jpg,16 Inches,2560 x 1600 pixels,2560x1600,2.2 GHz intel_core_i9,16,DDR5,DDR5 RAM,NVIDIA GeForce RTX 4060 8GB GDDR6,NVIDIA,1 TB SSD,,PCIE x 4,"Bluetooth, 802.11ax",3,Windows 11 Home,5.28 pounds,10.25 x 0.98 x 14.31 inches,Lenovo,Legion 5i,Legion 5 16IRX9
"Lenovo IdeaPad 1 14 Laptop, 14.0"" HD Display, Intel Celeron N4020, 4GB RAM, 64GB Storage, Intel UHD Graphics 600, Win 11 in S Mode, Cloud Grey",159.,3.8 out of 5 stars,https://m.media-amazon.com/images/I/41ilN47kiFL.jpg; https://m.media-amazon.com/images/I/41ilN47kiFL.jpg; https://m.media-amazon.com/images/I/41XM7DRFuvL.jpg; https://m.media-amazon.com/images/I/21qgE5zkzvL.jpg,14 Inches,1366 x 768 pixels,1366 x 768 Pixels,1.1 GHz celeron_n4020,1,4 GB DDR4,DDR4 SDRAM,Intel UHD Graphics 600,Intel,64 GB Emmc,4 GB,Solid State,"Bluetooth, 802.11ac",2,Windows 11,4 pounds,12.88 x 9.25 x 0.7 inches,Lenovo,Lenovo Ideapad 1i,82V6S00000
"Lenovo IdeaPad Slim 3 Chromebook, 14″ FHD IPS Anti-Glare Touchscreen, MediaTek Kompanio 520, 4GB LPDDR4X, 224GB Storage(64GB eMMC+160GB Docking Station Set), Webcam, WiFi 6, Chrome OS, Blue",259.,4.4 out of 5 stars,https://m.media-amazon.com/images/I/510OyBuknqL.jpg; https://m.media-amazon.com/images/I/51UXVi+sM5L.jpg; https://m.media-amazon.com/images/I/41+TmIYLsDL.jpg; https://m.media-amazon.com/images/I/51cbE8SxRLL.jpg; https://m.media-amazon.com/images/I/41DvVCYQvyL.jpg; https://m.media-amazon.com/images/I/41wJDBj7ivL.jpg; https://m.media-amazon.com/images/I/51EFQAZQq+L.jpg,14 Inches,1920 x 1080 pixels,1920 x 1080 Pixels,2 GHz mediatek_mt8183,8,4 GB LPDDR4X,DDR4 SDRAM,MediaTek Integrated Graphics,,64 GB Emmc,,Solid State,802.11ax,,Chrome OS,2.9 pounds,12.83 x 8.73 x 0.73 inches,Lenovo,Lenovo IdeaPad Slim 3,Lenovo IdeaPad
"Lenovo Yoga 7 14 2-in-1 AI PC Laptop 14"" WUXGA IPS Touch (Glossy) Intel 12-core Ultra 5 125U Processor (Beats i7-1335U) 16GB RAM 512GB SSD Backlit Fingerprint Thunderbolt4 Win11 Gray + HDMI Cable","1,149.",4.6 out of 5 stars,https://m.media-amazon.com/images/I/41zAVjmmV6L.jpg; https://m.media-amazon.com/images/I/41Zp-JobOuL.jpg; https://m.media-amazon.com/images/I/41c4ik5f2mL.jpg; https://m.media-amazon.com/images/I/41W4woqNTEL.jpg; https://m.media-amazon.com/images/I/41HijK+XWeL.jpg; https://m.media-amazon.com/images/I/31luzIWoLGL.jpg; https://m.media-amazon.com/images/I/213L8-72N+L.jpg,14 Inches,1920x1080,1920 x 1200 pixels,1.3 GHz Intel_Mobile_CPU,12,16 GB DDR5,DDR5 RAM,Intel Graphics,Intel,512 GB SSD,512 GB,Solid State,802.11ac,,Windows 11,3.55 pounds,8.75 x 12.51 x 0.66 inches,Lenovo,Lenovo Yoga 7i AI PC Laptop,i5-1335U
"Lenovo ThinkPad T14s Gen 6-2024 - Premium Laptop - Wi-Fi 7-14"" WUXGA IPS Display - 32GB Memory - 1TB SSD Storage - Snapdragon® X Elite - Black","1,079.",3.9 out of 5 stars,https://m.media-amazon.com/images/I/41vKhl0FqwL.jpg; https://m.media-amazon.com/images/I/41YF76jXZtL.jpg; https://m.media-amazon.com/images/I/51i4aPC+6XL.jpg; https://m.media-amazon.com/images/I/51dti-t5TaL.jpg; https://m.media-amazon.com/images/I/51uFCAA5eIL.jpg; https://m.media-amazon.com/images/I/41oY7RxZ6EL.jpg; https://m.media-amazon.com/images/I/41sUn5B5rPL.jpg,14 Inches,1920 x 1200 pixels,1920 x 1200 pixels,3.4 GHz Snapdragon,1,32 GB LPDDR5,DDR5 RAM,Adreno GPU,Qualcomm,1 TB SSD,32 GB,Solid State,802.11a/b/g/n/ac,2,Windows 10 Pro,2.73 pounds,8.64 x 12.35 x 0.67 inches,Lenovo,ThinkPad T14s G6,21N10000US
